symbol,deep
A,0
ACN,1
ADBE,0
ADP,0
ADSK,0
ALLE,0
AMAT,0
AOS,1
APA,1
APH,0
BF-B,0
BR,0
CBOE,0
CF,1
CHD,0
CL,0
CSCO,0
CTAS,0
CTSH,1
DECK,1
DXCM,0
EA,0
EBAY,0
ECL,0
EOG,1
ETN,0
FAST,0
FDS,1
FSLR,0
GE,0
GEHC,0
GILD,1
GOOG,0
GOOGL,0
HSY,0
HUBB,0
INCY,1
INTU,0
IT,1
ITW,0
JKHY,0
JNJ,0
KEYS,0
KLAC,0
LII,0
LRCX,0
MA,0
MAS,1
MCO,0
META,0
MNST,0
MO,1
MRK,1
MSFT,0
MTD,0
NEM,1
NOW,0
NTAP,1
ODFL,0
PANW,0
PAYC,0
PAYX,0
PG,0
PH,0
PNR,0
PTC,0
PYPL,1
QCOM,0
RL,0
ROK,0
ROL,0
SNA,1
STX,0
TEL,0
TT,0
V,0
VLTO,0
VRSK,0
WAT,0
WDC,0
WST,0
WTW,0
ZTS,0
